date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-12-7,99740.84,100439.18,98844,99831.99,14931.9459,98191.094,98526.10741,98191.094,101326.0072,95056.18084,68.8025726,95.45864227,0,0,0,0,97885.7732
2024-12-8,99831.99,101351,98657.7,101109.59,14612.99688,99243.074,99387.26827,99243.074,102041.1787,96444.96932,74.44621138,89.82232961,0,0,0,0,99427.99522
2024-12-9,101109.6,101215.93,94150.05,97276.47,53949.11595,98980.904,98683.66885,98980.904,102190.9619,95770.84609,44.35455151,-72.63418352,-0.0611,0.083333333,0.166666667,-1,99428.65364
2024-12-10,97276.48,98270,94256.54,96593,51708.68933,98910.378,97986.77923,98910.378,102306.3127,95514.44333,40.68885841,-112.4440289,0.0113625,0.005555556,0.125,-0.75,98727.7249
2024-12-11,96593,101888,95658.24,101125,37753.78291,99187.21,99032.85282,99187.21,103007.9083,95366.51173,64.80076632,40.26618851,0.3338,0,0,-0.5,96388.50504
2024-12-12,101125,102540,99311.64,100004.29,29232.08745,99221.67,99356.66521,99221.67,103068.0304,95375.30963,57.56673699,74.33905784,0.188975,0.092708333,0,-0.75,99844.28662
2024-12-13,100004.29,101895.26,99205,101424.25,21904.03923,99284.602,100045.8601,99284.602,103260.5723,95308.63171,63.94195669,76.20868527,0.00334,0,0,-0.6,99897.89057
2024-12-14,101424.24,102650,100609.41,101420,14191.70326,100113.308,100503.9068,100113.308,103785.2543,96441.36171,63.90603528,80.81491662,0,0,0,0,100802.646
2024-12-15,101420,105250,101237.14,104463.99,22228.92178,101687.506,101823.9345,101687.506,104653.8985,98721.11349,75.98471677,147.4011967,0.2997,-0.125,1,-1,101785.0045
2024-12-16,104463.99,107793.07,103333,106058.66,41302.40274,102674.238,103235.5097,102674.238,107139.3678,98209.10823,80.30146308,122.5159612,0.201771429,-0.027142857,0.142857143,-0.714285714,102667.2528
2024-12-17,106058.65,108353,105321.49,106133.74,29064.93647,103900.128,104201.5864,103900.128,108118.87,99681.386,80.50766661,97.97298594,-0.00814,0,-0.2,-0.6,104214.3073
2024-12-18,106133.74,106524.98,100000,100204.01,50307.99755,103656.08,102869.061,103656.08,108512.4778,98799.68221,39.59197202,-64.66347177,0.09744,0.185,0.2,-0.6,106209.8675
2024-12-19,100204.01,102800.11,95700,97461.86,55147.398,102864.452,101066.6606,102864.452,109776.2207,95952.68334,30.60183262,-134.4207672,0.07955,0.1015625,0.5,-0.5,101757.7979
2024-12-20,97461.86,98233,92232.54,97805.44,62884.1357,101532.742,99979.5871,101532.742,109220.837,93844.64702,32.98512426,-107.1158706,0.080185714,0.073051948,-0.428571429,-0.428571429,99857.6725
2024-12-21,97805.44,99540.61,96398.39,97291.99,23483.54143,99779.408,99083.7214,99779.408,106473.4441,93085.37192,30.99663163,-50.58959286,0.3612,0.136363636,0,-1,97754.45741
2024-12-22,97292,97448.08,94250.35,95186.27,19353.83036,97589.914,97784.57093,97589.914,100785.2369,94394.59112,23.67885646,-85.68108107,0,0,0,0,96708.35281
2024-12-23,95186.28,96538.92,92520,94881.47,32810.76703,96525.406,96816.87062,96525.406,98990.99233,94059.81967,22.7088298,-96.47353385,0.0243,-0.088888889,0,-0.5,95195.59061
2024-12-24,94881.47,99487.99,93569.02,98663.58,23674.22488,96765.75,97432.44041,96765.75,99732.89148,93798.60852,52.73888431,66.16779316,-0.03924,0.1275,0,-0.2,94885.42586
2024-12-25,98663.58,99569.15,97632.02,99429.6,14474.1651,97090.582,98098.16028,97090.582,100722.9336,93458.23035,56.97140748,101.0940874,0.454733333,0.416666667,0.333333333,-0.333333333,97091.73523
2024-12-26,99429.61,99963.7,95199.14,95791.6,21192.36727,96790.504,97329.30685,96790.504,100552.3151,93028.69293,37.19603652,16.76664933,0.20046,0.075,0,-0.6,98373.85668
2024-12-27,95791.6,97544.58,93500.01,94299.03,26501.26429,96613.056,96319.21457,96613.056,100727.9524,92498.15963,31.57525634,-71.81473366,0,0,0,-1,96674.64648
2024-12-28,94299.03,95733.99,94135.66,95300,8385.8929,96696.762,95979.47638,96696.762,100682.3518,92711.17219,39.26851293,-84.8732684,0,-0.25,0,1,96020.23007
2024-12-29,95300,95340,93009.52,93738.2,13576.00578,95711.686,95232.38425,95711.686,99700.57056,91722.80144,32.20614749,-86.14455092,0,0,0.5,-1,95548.67961
2024-12-30,93738.19,95024.5,91530.45,92792.05,27619.4225,94384.176,94418.9395,94384.176,96534.33431,92234.01769,28.34570113,-112.8940224,-0.01605,0.075,0,-1,93750.77266
2024-12-31,92792.05,96250,92033.73,93576,19612.03389,93941.056,94137.95967,93941.056,95607.0705,92275.0415,36.2589746,-30.11960953,0.1615,0.148148148,0,-0.333333333,93560.47682
2025-1-1,93576,95151.15,92888,94591.79,10373.32613,93999.608,94289.23645,93999.608,95731.12134,92268.09466,45.93044111,20.41749366,0.194575,0.034090909,0.25,-1,94396.98598
2025-1-2,94591.78,97839.5,94392,96984.79,21970.48948,94336.566,95187.7543,94336.566,97221.04333,91452.08867,62.62840981,166.6666667,0.1909,0,0.5,-1,94477.95972
2025-1-3,96984.79,98976.91,96100.01,98174.18,15253.82936,95223.762,96183.22953,95223.762,99306.30214,91141.22186,68.64452099,111.4809989,0,0.068181818,0,-1,96257.86579
2025-1-4,98174.17,98778.43,97514.79,98220.5,8990.05651,96309.452,96862.31969,96309.452,100104.9777,92513.92632,68.88833118,85.68003539,0.0258,0,0.5,-1,98031.62257
2025-1-5,98220.51,98836.85,97276.79,98363.61,8095.63723,97266.974,97362.74979,97266.974,100119.4932,94414.45479,69.79536496,62.30770357,0,0,1,-1,98510.74186
2025-1-6,98363.61,102480,97920,102235.6,25263.43375,98795.736,98987.03319,98795.736,102375.25,95216.22196,84.7911775,166.6666667,0.013483333,0,0,-1,98758.05457
2025-1-7,102235.6,102724.38,96181.81,96954.61,32059.87537,98789.7,98309.5588,98789.7,102381.4893,95197.91066,45.92185532,-7.369969088,0.337125,-0.025,0.25,-1,100769.888
2025-1-8,96954.6,97268.65,92500.9,95060.61,33704.67894,98166.986,97226.57586,98166.986,102875.665,93458.30703,38.09333117,-166.6666667,-0.0608,0.213636364,0.2,-0.6,97687.17763
2025-1-9,95060.61,95382.32,91203.67,92552.49,34544.83685,97033.384,95668.54724,97033.384,103533.169,90533.59901,29.70962589,-108.5513101,0.1506,0.1,0,-1,95244.31983
2025-1-10,92552.49,95836,92206.02,94726.11,31482.86424,96305.884,95354.4015,96305.884,102861.2932,89750.47481,43.24163421,-51.28709324,0.23225,0.125,0.5,-1,94422.74898
2025-1-11,94726.1,95050.94,93831.73,94599.99,7047.9043,94778.762,95102.931,94778.762,97579.44356,91978.08044,42.64616848,-27.13991011,0,0.318181818,0,-1,94484.84596
2025-1-12,94599.99,95450.1,93711.19,94545.06,8606.86622,94296.852,94916.974,94296.852,96077.61304,92516.09096,42.3288272,41.90633772,0,0,0,0,93931.87476
2025-1-13,94545.07,95940,89256.69,94536.1,42619.56423,94191.95,94790.016,94191.95,95837.01013,92546.88987,42.26470141,-72.70568648,0,0,0,-1,94100.62995
2025-1-14,94536.11,97371,94346.22,96560.86,27846.61753,94993.624,95380.29733,94993.624,96566.71726,93420.53074,59.56711869,162.7495418,0,-0.1,0,1,94092.1792
